specimen	species	location	country	insecticide	concentration	exposure_time	phenotype	plate
EA18-0001	arabiensis	Moshi	Tanzania	Delta	0.5	60	dead	TZ18_Plate03
EA18-0002	arabiensis	Moshi	Tanzania	Delta	0.5	60	dead	TZ18_Plate03
EA18-0003	arabiensis	Moshi	Tanzania	Delta	0.5	60	dead	TZ18_Plate03
EA18-0004	arabiensis	Moshi	Tanzania	Delta	0.5	60	dead	TZ18_Plate03
EA18-0005	arabiensis	Moshi	Tanzania	Delta	0.5	60	dead	TZ18_Plate03
EA18-0006	arabiensis	Moshi	Tanzania	Delta	0.5	60	dead	TZ18_Plate03
EA18-0007	arabiensis	Moshi	Tanzania	Delta	0.5	60	dead	TZ18_Plate03
EA18-0008	arabiensis	Moshi	Tanzania	Delta	0.5	60	dead	TZ18_Plate03
EA18-0009	arabiensis	Moshi	Tanzania	Delta	0.5	60	dead	TZ18_Plate03
EA18-0010	arabiensis	Moshi	Tanzania	Delta	0.5	60	dead	TZ18_Plate03
EA18-0011	arabiensis	Moshi	Tanzania	Delta	0.5	60	dead	TZ18_Plate03
EA18-0012	arabiensis	Moshi	Tanzania	Delta	0.5	60	dead	TZ18_Plate03
EA18-0013	arabiensis	Moshi	Tanzania	Delta	0.5	60	dead	TZ18_Plate03
EA18-0014	arabiensis	Moshi	Tanzania	Delta	0.5	60	dead	TZ18_Plate03
EA18-0015	arabiensis	Moshi	Tanzania	Delta	0.5	60	dead	TZ18_Plate03
EA18-0016	arabiensis	Moshi	Tanzania	Delta	0.5	60	dead	TZ18_Plate03
EA18-0017	arabiensis	Moshi	Tanzania	Delta	0.5	60	dead	TZ18_Plate03
EA18-0018	arabiensis	Moshi	Tanzania	Delta	0.5	60	dead	TZ18_Plate03
EA18-0019	arabiensis	Moshi	Tanzania	Delta	0.5	60	dead	TZ18_Plate03
EA18-0020	arabiensis	Moshi	Tanzania	Delta	0.5	60	dead	TZ18_Plate03
EA18-0021	arabiensis	Moshi	Tanzania	Delta	0.5	60	dead	TZ18_Plate03
EA18-0022	arabiensis	Moshi	Tanzania	Delta	0.5	60	dead	TZ18_Plate03
EA18-0023	arabiensis	Moshi	Tanzania	Delta	0.5	60	dead	TZ18_Plate03
EA18-0024	arabiensis	Moshi	Tanzania	Delta	0.5	60	dead	TZ18_Plate03
EA18-0025	arabiensis	Moshi	Tanzania	Delta	0.5	60	dead	TZ18_Plate03
EA18-0026	arabiensis	Moshi	Tanzania	Delta	0.5	60	dead	TZ18_Plate03
EA18-0027	arabiensis	Moshi	Tanzania	Delta	0.5	60	dead	TZ18_Plate03
EA18-0028	arabiensis	Moshi	Tanzania	Delta	0.5	60	dead	TZ18_Plate03
EA18-0029	arabiensis	Moshi	Tanzania	Delta	0.5	60	dead	TZ18_Plate03
EA18-0030	arabiensis	Moshi	Tanzania	Delta	0.5	60	dead	TZ18_Plate03
EA18-0031	arabiensis	Moshi	Tanzania	Delta	0.5	60	dead	TZ18_Plate03
EA18-0032	arabiensis	Moshi	Tanzania	Delta	0.5	60	dead	TZ18_Plate03
EA18-0033	arabiensis	Moshi	Tanzania	Delta	0.5	60	dead	TZ18_Plate03
EA18-0034	arabiensis	Moshi	Tanzania	Delta	0.5	60	dead	TZ18_Plate03
EA18-0035	arabiensis	Moshi	Tanzania	Delta	0.5	60	dead	TZ18_Plate03
EA18-0036	arabiensis	Moshi	Tanzania	Delta	0.5	60	dead	TZ18_Plate03
EA18-0037	arabiensis	Moshi	Tanzania	Delta	0.5	60	dead	TZ18_Plate03
EA18-0038	arabiensis	Moshi	Tanzania	Delta	0.5	60	dead	TZ18_Plate03
EA18-0039	arabiensis	Moshi	Tanzania	Delta	0.5	60	dead	TZ18_Plate03
EA18-0040	arabiensis	Moshi	Tanzania	Delta	0.5	60	dead	TZ18_Plate03
EA18-0041	arabiensis	Moshi	Tanzania	Delta	0.5	60	dead	TZ18_Plate03
EA18-0042	None	Moshi	Tanzania	Delta	0.5	60	dead	TZ18_Plate03
EA18-0043	arabiensis	Moshi	Tanzania	Delta	0.5	60	dead	TZ18_Plate03
EA18-0044	arabiensis	Moshi	Tanzania	Delta	0.5	60	dead	TZ18_Plate03
EA18-0045	arabiensis	Moshi	Tanzania	Delta	0.5	60	dead	TZ18_Plate03
EA18-0046	arabiensis	Moshi	Tanzania	Delta	0.5	60	dead	TZ18_Plate03
EA18-0047	arabiensis	Moshi	Tanzania	Delta	0.5	60	dead	TZ18_Plate03
EA18-0048	arabiensis	Moshi	Tanzania	Delta	0.5	60	dead	TZ18_Plate03
EA18-0049	arabiensis	Moshi	Tanzania	Delta	0.5	60	dead	TZ18_Plate03
EA18-0050	arabiensis	Moshi	Tanzania	Delta	0.5	60	dead	TZ18_Plate03
EA18-0051	arabiensis	Moshi	Tanzania	Delta	0.5	60	dead	TZ18_Plate03
EA18-0052	arabiensis	Moshi	Tanzania	Delta	0.5	60	dead	TZ18_Plate03
EA18-0053	arabiensis	Moshi	Tanzania	Delta	0.5	60	dead	TZ18_Plate03
EA18-0054	arabiensis	Moshi	Tanzania	Delta	0.5	60	dead	TZ18_Plate03
EA18-0055	arabiensis	Moshi	Tanzania	Delta	0.5	60	dead	TZ18_Plate03
EA18-0056	arabiensis	Moshi	Tanzania	Delta	0.5	60	dead	TZ18_Plate03
EA18-0057	arabiensis	Moshi	Tanzania	Delta	0.5	60	dead	TZ18_Plate03
EA18-0058	arabiensis	Moshi	Tanzania	Delta	0.5	60	dead	TZ18_Plate03
EA18-0059	arabiensis	Moshi	Tanzania	Delta	0.5	60	dead	TZ18_Plate03
EA18-0060	arabiensis	Moshi	Tanzania	Delta	0.5	60	dead	TZ18_Plate03
EA18-0061	arabiensis	Moshi	Tanzania	Delta	0.5	60	dead	TZ18_Plate03
EA18-0062	arabiensis	Moshi	Tanzania	Delta	0.5	60	dead	TZ18_Plate03
EA18-0063	arabiensis	Moshi	Tanzania	Delta	0.5	60	dead	TZ18_Plate03
EA18-0064	arabiensis	Moshi	Tanzania	Delta	0.5	60	dead	TZ18_Plate03
EA18-0065	arabiensis	Moshi	Tanzania	Delta	0.5	60	dead	TZ18_Plate03
