MalGEN_ID	External_ID	Date_of_Collection	Location	Country	Study	Sex_call
VBS54893	EA18-0001	2018-07-25T00:00:00Z	Moshi	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS54894	EA18-0003	2018-07-25T00:00:00Z	Moshi	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS54895	EA18-0004	2018-07-25T00:00:00Z	Moshi	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS54898	EA18-0008	2018-07-25T00:00:00Z	Moshi	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS54901	EA18-0012	2018-07-25T00:00:00Z	Moshi	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS54904	EA18-0015	2018-07-25T00:00:00Z	Moshi	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS54911	EA18-0022	2018-07-25T00:00:00Z	Moshi	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS54912	EA18-0023	2018-07-25T00:00:00Z	Moshi	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS54913	EA18-0026	2018-07-25T00:00:00Z	Moshi	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS54914	EA18-0027	2018-07-25T00:00:00Z	Moshi	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS54915	EA18-0029	2018-07-25T00:00:00Z	Moshi	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS54917	EA18-0032	2018-07-25T00:00:00Z	Moshi	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS54918	EA18-0033	2018-07-25T00:00:00Z	Moshi	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS54919	EA18-0034	2018-07-25T00:00:00Z	Moshi	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS54923	EA18-0038	2018-07-25T00:00:00Z	Moshi	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
